dataset_name,model_name,observation,xai_method,AvgSensitivity,Completeness,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,SensitivityN,Sparseness,Sufficiency
MetroPT3,IForest,2020-07-17 04:30:00,MAPLE,0.6514145386156172,False,2.029521674340237,0.5609756097424152,-0.4982905262397518,-0.0698372449967002,2.631875593236127,1.029979860485183,True,0.6,False,2,0.0002195915547682,94.69498350464154,,0.4094315540748169,0.5789473684210527
MetroPT3,IForest,2020-07-17 04:30:00,SHAP,0.3470207922265155,False,1.5366897975648055,0.5609756097424152,0.9254312506334182,0.7810003827367042,3.2020859906175527,0.4951056939526994,True,0.291794660966431,False,4,0.0013154472312719,509.7695452670674,,0.6333532581157846,0.0
MetroPT3,IForest,2020-07-17 05:00:00,LIME,0.4908742202333451,False,1.594534477858801,0.5609756097424152,0.5107650599206801,0.1033978155284291,5.741737692552541,0.7467806960732225,True,0.6378115074703368,False,3,3.748362781412,179425243.15933904,,0.6006363824183527,0.0
MetroPT3,IForest,2020-07-17 05:00:00,MAPLE,0.3434859474645874,False,2.08755211825818,0.5609756097424152,0.0083816303351392,-0.2074405736489575,0.6713223835441464,0.9209469936179028,True,0.3454545454545454,False,1,0.0001642595447693,1506.3783131598675,,0.3646030475241945,0.5945945945945946
MetroPT3,IForest,2020-07-17 05:00:00,SHAP,0.2838036658687617,False,1.7554413662213468,0.5609756097424152,0.8852758217635142,0.8163914769227545,1.738730329947677,0.4611151169047572,True,0.1762926076672187,False,3,0.0002733972738463,7034.474945969133,,0.5438745442298798,0.0
MetroPT3,IForest,2020-07-17 05:30:00,LIME,0.4615362746445091,False,1.5890593257272054,0.5609756097424152,0.5353435714727871,-0.0732770425131797,6.038610129201111,0.7301173657550379,True,0.6315584534755296,False,5,13739.191759779698,42665281.71578848,,0.605366992801041,0.0
MetroPT3,IForest,2020-07-17 05:30:00,MAPLE,0.4002633791959635,False,2.033961975876963,0.5609756097424152,0.2578522830187427,-0.2834843656885022,0.966078600429232,1.1894362162653294,True,0.0666666666666666,False,2,0.2643986482732671,3929.174375995819,,0.3636227193995076,0.5757575757575758
MetroPT3,IForest,2020-07-17 05:30:00,SHAP,0.2676995965043847,False,1.6188059891281283,0.5609756097424152,0.882909167156134,0.6229152008979514,1.6578735620939384,0.470951598747803,True,0.3343480490240355,False,3,0.5217982810152239,5627.186421705738,,0.6108449614957533,0.0
MetroPT3,IForest,2020-07-17 07:30:00,LIME,0.4872774093730074,False,1.6058546000463545,0.5609756097424152,0.5381660871572014,0.0886605583122619,5.556454085060139,0.7583806318656279,True,0.6503176154599513,False,5,12281.440812164905,45323937.41928671,,0.5952577185152472,0.0
MetroPT3,IForest,2020-07-17 07:30:00,MAPLE,0.367636172198948,False,2.016396017019945,0.5609756097424152,0.2532303204585355,0.3317432244104653,0.8938565796262329,1.0659511131620134,True,0.2606060606060606,False,2,0.4202013362953474,56910.87074313987,,0.3824490486033237,0.5757575757575758
MetroPT3,IForest,2020-07-17 07:30:00,SHAP,0.3148922359728296,False,1.544905412236241,0.5609756097424152,0.9073977132058296,-0.6355410977851237,2.002846481764774,0.4538532875168308,True,0.3404271044608361,False,3,0.997128145523451,20066.027223157016,,0.6416093168947089,0.0
MetroPT3,IForest,2020-07-24 23:30:00,LIME,1.500160153105042,False,1.53540165522241,0.4146341463313504,-0.2388452888231331,-0.1434175635387194,12.15268920275076,2.334166240853062,True,0.5940401295066863,True,5,,,,0.6229973383985781,0.0
MetroPT3,IForest,2020-07-24 23:30:00,MAPLE,1.4488303027196046,False,1.809983487111636,0.4146341463313504,0.4283870667719704,0.5188948986759729,5.987790514585008,4.325721986455108,True,0.18845071854082,True,1,,,,0.505835396806593,0.3947368421052631
MetroPT3,IForest,2020-07-24 23:30:00,SHAP,4.882004068031406,False,1.963006156079934,0.4146341463313504,-0.4536974013173412,-0.1565973041322764,6.562857474386475,6.185809873297385,True,0.1215811087360129,True,3,,,,0.4078769013046631,0.0
MetroPT3,IForest,2020-07-25 00:00:00,LIME,1.5776253885484528,False,1.544330415850721,0.4146341463313504,-0.257708102782989,-0.1445481052757178,15.06985781736778,2.5308813272743302,True,0.5940401295066863,True,5,,,,0.6209660505294889,0.0
MetroPT3,IForest,2020-07-25 00:00:00,MAPLE,1.4599789709739723,False,1.809983487111636,0.4146341463313504,0.4283870667719704,0.5188948986759729,5.644194184810606,4.160814425701775,True,0.18845071854082,True,1,,,,0.505835396806593,0.3947368421052631
MetroPT3,IForest,2020-07-25 00:00:00,SHAP,4.669789749096603,False,1.963006156079934,0.4146341463313504,-0.4536974013173412,-0.1565973041322764,4.581582261465394,6.115469247363694,True,0.1215811087360129,True,3,,,,0.4078769013046631,0.0
MetroPT3,IForest,2020-07-29 00:00:00,LIME,1.4959445463348993,False,1.4414734979881263,0.4146341463313504,-0.1601698010435015,-0.0756684642419003,13.948508628442404,2.2596099886552152,True,0.5064973735793852,True,5,,,,0.6513199143264199,0.0
MetroPT3,IForest,2020-07-29 00:00:00,MAPLE,1.2868667908895557,False,1.8215811210585613,0.4146341463313504,0.4265750277155032,0.5813934400299472,4.220938607180892,3.997046599655753,True,0.2848484848484848,True,0,,,,0.5249130160138524,0.3947368421052631
MetroPT3,IForest,2020-07-29 00:00:00,SHAP,4.982545664641357,False,1.9753052035524896,0.4146341463313504,-0.2951773249338406,-0.2972452899981498,4.970371080090505,6.658389770693155,True,0.1337392196096141,True,3,,,,0.399103455757604,0.0
MetroPT3,IForest,2020-07-29 00:30:00,LIME,1.6537779723960853,False,1.416468592371233,0.4146341463313504,-0.2116235798632343,-0.4414792237426394,12.798371106877758,2.525413662582116,True,0.3689301856936262,False,5,,,,0.6482809388534015,0.0
MetroPT3,IForest,2020-07-29 00:30:00,MAPLE,1.109710187033045,False,1.9065226441378416,0.4146341463313504,0.2473947641875702,0.5816262722931412,6.895150934655676,2.766309448406242,True,0.5151515151515151,True,0,,,,0.4514523686585958,0.3846153846153846
MetroPT3,IForest,2020-07-29 00:30:00,SHAP,4.02309180419919,False,1.9966432585787184,0.4146341463313504,-0.186286091847504,-0.5723257172207639,4.6938444626471885,5.867416374407676,True,0.3708223816448394,False,3,,,,0.3766420660060651,0.0
MetroPT3,IForest,2020-07-29 01:00:00,LIME,1.5990537938071927,False,1.5569076599978109,0.4146341463313504,-0.2687505350351273,-0.1733897284636402,13.823306239502877,2.445974815913293,True,0.6065462374963008,True,5,,,,0.6099023179658896,0.0
MetroPT3,IForest,2020-07-29 01:00:00,MAPLE,2.0106349580076426,False,1.892234002177168,0.4146341463313504,0.4070440797577294,0.3847559588233809,3.691736511417569,6.281251798747755,True,0.1762926076672187,True,1,,,,0.4457427136646553,0.4166666666666667
MetroPT3,IForest,2020-07-29 01:00:00,SHAP,4.655558437310791,False,1.970238746011883,0.4146341463313504,-0.5182100606848977,-0.3608137829156551,3.8560718034891166,6.01639996315918,True,0.2310041065984245,True,3,,,,0.4028684976382834,0.0
