dataset_name,model_name,metric,category,direction,xai_method,median,rank,is_best,best_methods,interpretation
AHU21,MCD,Faithfulness,Faithfulness,higher,LIME,-0.9970717902065349,3.0,False,MAPLE,mayor fidelidad
AHU21,MCD,Faithfulness,Faithfulness,higher,MAPLE,0.2038807582542804,1.0,True,MAPLE,mayor fidelidad
AHU21,MCD,Faithfulness,Faithfulness,higher,SHAP,-0.39726382947311695,2.0,False,MAPLE,mayor fidelidad
AHU21,MCD,FaithfulnessEstimate,Faithfulness,higher,LIME,0.30038857270467856,1.0,True,LIME,mayor estimación de fidelidad
AHU21,MCD,FaithfulnessEstimate,Faithfulness,higher,MAPLE,-0.003842126764563733,3.0,False,LIME,mayor estimación de fidelidad
AHU21,MCD,FaithfulnessEstimate,Faithfulness,higher,SHAP,0.22603483103039596,2.0,False,LIME,mayor estimación de fidelidad
AHU21,MCD,LocalLipschitzEstimate,Robustness,lower,LIME,8.88633288270959,3.0,False,SHAP,mayor estabilidad local
AHU21,MCD,LocalLipschitzEstimate,Robustness,lower,MAPLE,1.6153700261343924,2.0,False,SHAP,mayor estabilidad local
AHU21,MCD,LocalLipschitzEstimate,Robustness,lower,SHAP,0.28396138502026047,1.0,True,SHAP,mayor estabilidad local
AHU21,MCD,MaxSensitivity,Robustness,lower,LIME,2.092429092116893,1.0,True,LIME,menor sensibilidad máxima
AHU21,MCD,MaxSensitivity,Robustness,lower,MAPLE,4.560334869623463,2.0,False,LIME,menor sensibilidad máxima
AHU21,MCD,MaxSensitivity,Robustness,lower,SHAP,11.138995333880084,3.0,False,LIME,menor sensibilidad máxima
AHU21,MCD,Monotonicity,Faithfulness,higher,LIME,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,MCD,Monotonicity,Faithfulness,higher,MAPLE,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,MCD,Monotonicity,Faithfulness,higher,SHAP,1.0,1.0,True,"LIME, MAPLE, SHAP",mayor monotonicidad
AHU21,MCD,MonotonicityCorrelation,Faithfulness,higher,LIME,0.30392156862745096,2.0,False,SHAP,mayor correlación monotónica
AHU21,MCD,MonotonicityCorrelation,Faithfulness,higher,MAPLE,0.29289215686274506,3.0,False,SHAP,mayor correlación monotónica
AHU21,MCD,MonotonicityCorrelation,Faithfulness,higher,SHAP,0.6887254901960785,1.0,True,SHAP,mayor correlación monotónica
AHU21,MCD,MonotonicityMetric,Faithfulness,higher,LIME,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,MCD,MonotonicityMetric,Faithfulness,higher,MAPLE,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,MCD,MonotonicityMetric,Faithfulness,higher,SHAP,0.0,1.0,True,"LIME, MAPLE, SHAP",mayor cumplimiento de monotonicidad
AHU21,MCD,NonSensitivity,Fidelity,lower,LIME,5.0,1.0,True,"LIME, MAPLE",menor sensibilidad a características irrelevantes
AHU21,MCD,NonSensitivity,Fidelity,lower,MAPLE,5.0,1.0,True,"LIME, MAPLE",menor sensibilidad a características irrelevantes
AHU21,MCD,NonSensitivity,Fidelity,lower,SHAP,6.0,3.0,False,"LIME, MAPLE",menor sensibilidad a características irrelevantes
