metric,category,direction,xai_method,mean,median,std,iqr,min,max,missing_pct,interpretation
LocalLipschitzEstimate,Robustness,lower,MAPLE,3.843714915014692,3.2852715995696427,2.400714654052689,2.6980398736995967,0.5458513233638083,19.13629557349906,0.0,mayor estabilidad local
LocalLipschitzEstimate,Robustness,lower,SHAP,3.8819385148660586,3.1694212494650618,2.964486973217709,3.435006346242417,0.1680686242181314,20.96615530555212,0.0,mayor estabilidad local
MaxSensitivity,Robustness,lower,LIME,1.791774622010277,1.7645176989964404,0.8251370903090581,0.7486437161752721,0.2095963947857095,6.187911413544574,0.0,menor sensibilidad máxima
MaxSensitivity,Robustness,lower,MAPLE,651.0910312966398,1.7326602692219057,7027.525651113555,1.7579535220864182,0.0619647877722219,125284.2782195404,0.0,menor sensibilidad máxima
MaxSensitivity,Robustness,lower,SHAP,3.2990964764831876,2.1334093175527187,3.456581080508036,2.868203120969198,0.368936530748573,50.17127868791484,0.0,menor sensibilidad máxima
RelativeInputStability,Robustness,lower,LIME,542.6846097384733,0.2522385959073279,5090.04114878846,4.30215632156442,2.5115565234290948e-05,108355.94547696887,47.16117216117216,mayor estabilidad frente a cambios en la entrada
RelativeInputStability,Robustness,lower,MAPLE,64.23939696765318,0.36695851587760975,820.7685314375101,7.447539170159113,1.346755203581286e-06,18990.049588815866,47.069597069597066,mayor estabilidad frente a cambios en la entrada
RelativeInputStability,Robustness,lower,SHAP,250.63679183408686,0.1800827144330216,2326.7260371664424,2.066054845186796,2.288164692033084e-05,34613.72709023079,47.16117216117216,mayor estabilidad frente a cambios en la entrada
RelativeOutputStability,Robustness,lower,LIME,22101015.702578638,6232.770302124852,243351812.91615683,875212.56184221,4.303410428160123,4127215257.37396,47.16117216117216,mayor estabilidad relativa en la salida
RelativeOutputStability,Robustness,lower,MAPLE,2047870615.7201707,3275.428704534937,32946086374.43341,1505053.9827263094,0.9010075923292808,743656001187.0403,47.16117216117216,mayor estabilidad relativa en la salida
RelativeOutputStability,Robustness,lower,SHAP,2642414.1988208154,10302.97481106207,19941871.561196245,227397.7957818263,4.731930344962446,355838414.92690766,49.08424908424908,mayor estabilidad relativa en la salida
AvgSensitivity,Sensitivity,lower,LIME,1.0576639437048299,1.0605711022120685,0.5348057852676671,0.6120059018856687,0.0957026960939979,3.8368298769197855,0.0,menor sensibilidad media
AvgSensitivity,Sensitivity,lower,MAPLE,455.69440110465496,0.8204761128802546,5014.2734141176,0.7248174366209441,0.0327538347060871,90978.39479263408,0.0,menor sensibilidad media
AvgSensitivity,Sensitivity,lower,SHAP,1.5343971001944883,1.0728664743340048,1.3597532886178176,1.4482572100835212,0.1823798330285951,18.778814042521404,6.41025641025641,menor sensibilidad media
